;name;train_acc;eval_acc
0;train-conv1;0.06724;0.0478
1;train-layer1-0-conv1;0.16666;0.1012
2;train-layer1-0-conv2;0.2209;0.1077
3;train-layer1-1-conv1;0.20917;0.1147
4;train-layer1-1-conv2;0.19363;0.0845
5;train-layer2-0-conv1;0.26189;0.118
6;train-layer2-0-conv2;0.4158;0.1238
7;train-layer2-0-downsample-0;0.21936;0.114
8;train-layer2-1-conv1;0.44921;0.1672
9;train-layer2-1-conv2;0.40463;0.1756
10;train-layer3-0-conv1;0.52957;0.2057
11;train-layer3-0-conv2;0.73399;0.2669
12;train-layer3-0-downsample-0;0.4194;0.1629
13;train-layer3-1-conv1;0.6928;0.3172
14;train-layer3-1-conv2;0.75666;0.3212
15;train-layer4-0-conv1;0.77842;0.3517
16;train-layer4-0-conv2;0.87675;0.4128
17;train-layer4-0-downsample-0;0.57821;0.3138
18;train-layer4-1-conv1;0.98544;0.4666
19;train-layer4-1-conv2;1.0;0.5161
20;train-fc;0.70362;0.5444
